timestamp,velocity,steering,pwm_green,pwm_red,gpio12_up,gpio13_down,gpio14_left,gpio15_right
1776319780.2189,24.0000,-0.1657,76,42,1,0,1,0
1776319786.0465,40.8000,-0.1723,130,43,1,0,1,0
1776319791.4619,52.5600,-0.1814,167,46,1,0,1,0
1776319796.9000,60.7920,-0.1875,193,47,1,0,1,0
1776319802.3286,66.5544,-0.1844,212,47,1,0,1,0
1776319807.7368,70.5881,-0.1917,224,48,1,0,1,0
1776320090.3960,24.0000,-0.1657,76,42,1,0,1,0
1776320096.0244,40.8000,-0.1723,130,43,1,0,1,0
1776320101.4434,52.5600,-0.1814,167,46,1,0,1,0
1776339122.6606,24.0000,-0.1657,76,42,1,0,1,0
1776339128.6333,40.8000,-0.1723,130,43,1,0,1,0
1776339134.0363,52.5600,-0.1814,167,46,1,0,1,0
1776339139.4284,60.7920,-0.1875,193,47,1,0,1,0
1776339144.8129,66.5544,-0.1844,212,47,1,0,1,0
1776339150.2121,70.5881,-0.1917,224,48,1,0,1,0
1776339651.3181,60.8000,-0.0249,193,0,1,0,0,0
1776339657.0845,61.6000,-0.0470,196,0,1,0,0,0
1776339662.4772,62.4000,-0.0671,198,17,1,0,1,0
1776339667.8514,63.2000,-0.0852,201,21,1,0,1,0
1776339673.2978,64.0000,-0.1001,203,25,1,0,1,0
1776339678.6574,64.8000,-0.1138,206,29,1,0,1,0
1776339684.0344,65.6000,-0.1255,209,32,1,0,1,0
1776339689.4713,66.4000,-0.1347,211,34,1,0,1,0
1776339694.8333,67.2000,-0.1373,214,35,1,0,1,0
1776339700.2102,68.0000,-0.1350,216,34,1,0,1,0
1776339705.6331,66.0000,-0.1291,210,32,1,0,1,0
1776339711.0103,66.8000,-0.1209,212,30,1,0,1,0
1776339716.3982,67.6000,-0.1114,215,28,1,0,1,0
1776339721.7933,68.4000,-0.1018,218,25,1,0,1,0
1776339727.1676,69.2000,-0.0923,220,23,1,0,1,0
1776339732.5484,70.0000,-0.0834,223,21,1,0,1,0
1776339737.9086,70.8000,-0.0749,225,19,1,0,1,0
1776339743.3090,71.5360,-0.0670,228,17,1,0,1,0
1776339748.6816,72.2131,-0.0593,230,15,1,0,1,0
1776339754.0657,72.8361,-0.0522,232,13,1,0,1,0
1776339759.4555,73.4092,-0.0459,233,0,1,0,0,0
1776341814.1075,60.8000,-0.0249,193,0,1,0,0,0
1776341814.4636,61.6000,-0.0470,196,0,1,0,0,0
1776341814.8617,62.4000,-0.0671,198,17,1,0,1,0
1776341815.2321,63.2000,-0.0852,201,21,1,0,1,0
